
FullName,Service,Role,CanonicalModules,IsTest
C:\Users\richg\eafix-modular\services\reentry-engine\src\2099900166260118_main.py,reentry-engine,entrypoint,"E1_OUTCOME_BUCKETIZER,E2_PROXIMITY_EVALUATOR,E4_REENTRY_INTENT_BUILDER",0
C:\Users\richg\eafix-modular\services\reentry-engine\src\2099900167260118_metrics.py,reentry-engine,metrics,"E1_OUTCOME_BUCKETIZER,E2_PROXIMITY_EVALUATOR,E4_REENTRY_INTENT_BUILDER",0
C:\Users\richg\eafix-modular\services\reentry-engine\src\2099900169260118_processor.py,reentry-engine,processor,"E1_OUTCOME_BUCKETIZER,E2_PROXIMITY_EVALUATOR,E4_REENTRY_INTENT_BUILDER",0
C:\Users\richg\eafix-modular\services\reentry-engine\src\2099900165260118_health.py,reentry-engine,health,"E1_OUTCOME_BUCKETIZER,E2_PROXIMITY_EVALUATOR,E4_REENTRY_INTENT_BUILDER",0
C:\Users\richg\eafix-modular\services\telemetry-daemon\src\2099900191260118_health.py,telemetry-daemon,health,P1_HEALTH_AGGREGATOR,0
C:\Users\richg\eafix-modular\shared\idempotency\models\2099900211260118_idempotency_key.py,,other,,0
C:\Users\richg\eafix-modular\shared\idempotency\2099900209260118___init__.py,,package_init,,0
C:\Users\richg\eafix-modular\shared\idempotency\middleware\2099900210260118_fastapi_middleware.py,,other,,0
C:\Users\richg\eafix-modular\shared\idempotency\patterns\2099900214260118_saga_coordinator.py,,other,,0
C:\Users\richg\eafix-modular\shared\idempotency\patterns\2099900213260118_outbox_pattern.py,,other,,0
C:\Users\richg\eafix-modular\shared\idempotency\patterns\2099900212260118_exactly_once_execution.py,,other,,0
C:\Users\richg\eafix-modular\services\transport-router\src\2099900200260118_metrics.py,transport-router,metrics,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\services\transport-router\src\2099900204260118_watcher.py,transport-router,watcher,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\services\transport-router\src\2099900202260118_router.py,transport-router,router,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\services\transport-router\src\2099900203260118_validator.py,transport-router,validator,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\shared\2099900207260118_plugin_interface.py,,plugin,,0
C:\Users\richg\eafix-modular\services\transport-router\tests\2099900206260118_test_integration.py,transport-router,test,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",1
C:\Users\richg\eafix-modular\services\transport-router\src\2099900205260118___init__.py,transport-router,package_init,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\services\telemetry-daemon\tests\2099900196260118_test_telemetry_daemon.py,telemetry-daemon,test,P1_HEALTH_AGGREGATOR,1
C:\Users\richg\eafix-modular\shared\reentry\2099900220260118_reentry_helpers_cli.py,,cli,,0
C:\Users\richg\eafix-modular\shared\reentry\2099900222260118___init__.py,,package_init,,0
C:\Users\richg\eafix-modular\services\telemetry-daemon\src\2099900195260118___init__.py,telemetry-daemon,package_init,P1_HEALTH_AGGREGATOR,0
C:\Users\richg\eafix-modular\services\transport-router\src\2099900198260118_health.py,transport-router,health,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\shared\positioning\2099900216260118_positioning_ratio_index.py,,other,,0
C:\Users\richg\eafix-modular\shared\reentry\2099900221260118_vocab.py,,other,,0
C:\Users\richg\eafix-modular\shared\positioning\2099900217260118___init__.py,,package_init,,0
C:\Users\richg\eafix-modular\shared\reentry\2099900219260118_indicator_validator.py,,validator,,0
C:\Users\richg\eafix-modular\shared\reentry\2099900218260118_hybrid_id.py,,other,,0
C:\Users\richg\eafix-modular\shared\idempotency\stores\2099900215260118_redis_store.py,,other,,0
C:\Users\richg\eafix-modular\2099900005260118_eafix_cli.py,,cli,,0
C:\Users\richg\eafix-modular\services\common\2099900100260118_base_enterprise_service.py,common,service,,0
C:\Users\richg\eafix-modular\tests\contracts\2099900226260118_contract_tests_migrated.py,,test,,1
C:\Users\richg\eafix-modular\services\desktop-ui\2099900130260118_friday_vol_indicator.py,desktop-ui,other,,0
C:\Users\richg\eafix-modular\tests\infrastructure\2099900240260118_test_infrastructure.py,,test,,1
C:\Users\richg\eafix-modular\dag\2099900035260118_validate_dag.py,,other,,0
C:\Users\richg\eafix-modular\contracts\2099900015260118_validate_json_schemas.py,,other,,0
C:\Users\richg\eafix-modular\contracts\2099900014260118_validate_csv_artifacts.py,,other,,0
C:\Users\richg\eafix-modular\services\desktop-ui\2099900135260118_tkinter_dashboard_gui.py,desktop-ui,other,,0
C:\Users\richg\eafix-modular\services\desktop-ui\2099900131260118_friday_vol_signal.py,desktop-ui,other,,0
C:\Users\richg\eafix-modular\services\desktop-ui\2099900128260118_expiry_indicator_service.py,desktop-ui,service,,0
C:\Users\richg\eafix-modular\services\desktop-ui\2099900129260118_expiry_service.py,desktop-ui,service,,0
C:\Users\richg\eafix-modular\services\desktop-ui\2099900134260118_test_friday_vol_signal.py,desktop-ui,test,,1
C:\Users\richg\eafix-modular\services\desktop-ui\2099900133260118_test_friday_vol_indicator.py,desktop-ui,test,,1
C:\Users\richg\eafix-modular\services\desktop-ui\2099900132260118_outbound.py,desktop-ui,other,,0
C:\Users\richg\eafix-modular\ci\2099900008260118_check_schema_compat.py,,other,,0
C:\Users\richg\eafix-modular\docs\reference\2010000001260118_apf_apply_stub.py,,other,,0
C:\Users\richg\eafix-modular\compliance\2099900011260118_security_framework.py,,other,,0
C:\Users\richg\eafix-modular\ci\2099900010260118_validate_schemas.py,,other,,0
C:\Users\richg\eafix-modular\ci\2099900009260118_smoke_test.py,,test,,1
C:\Users\richg\eafix-modular\scripts\exporters\2099900086260118_export_orders_out.py,,other,,0
C:\Users\richg\eafix-modular\scripts\2099900082260118_close_docid_gaps.py,,other,,0
C:\Users\richg\eafix-modular\tests\2099900224260118___init__.py,,package_init,,1
C:\Users\richg\eafix-modular\tests\legacy\2099900249260118_test_indicator_validator.py,,test,,1
C:\Users\richg\eafix-modular\tests\legacy\2099900248260118_test_hybrid_id.py,,test,,1
C:\Users\richg\eafix-modular\scripts\2099900083260118_validate_keys_cli.py,,cli,,0
C:\Users\richg\eafix-modular\tests\legacy\2099900250260118_test_vocab.py,,test,,1
C:\Users\richg\eafix-modular\contracts\models\2099900016260118_csv_models.py,,models,,0
C:\Users\richg\eafix-modular\contracts\models\2099900017260118_event_models.py,,models,,0
C:\Users\richg\eafix-modular\compliance\webhooks\2099900013260118_alertmanager-webhook.py,,other,,0
C:\Users\richg\eafix-modular\tests\2099900223260118_test_plugin_system.py,,test,,1
C:\Users\richg\eafix-modular\scripts\2099900081260118_batch_assign_source_docids.py,,other,,0
C:\Users\richg\eafix-modular\contracts\models\2099900019260118___init__.py,,package_init,,0
C:\Users\richg\eafix-modular\contracts\models\2099900018260118_json_models.py,,models,,0
C:\Users\richg\eafix-modular\compliance\auto-remediation\2099900012260118_remediation-engine.py,,other,,0
C:\Users\richg\eafix-modular\services\desktop-ui\testing\2099900137260118_manual_testing_control_panel.py,desktop-ui,test,,1
C:\Users\richg\eafix-modular\tests\fixtures\2099900238260118_manual_testing_control_panel.py,,test,,1
C:\Users\richg\eafix-modular\tests\fixtures\2099900239260118_signal_flow_tester.py,,test,,1
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900097260118_python_calendar_system_patched.py,calendar-ingestor,other,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\services\desktop-ui\dashboard\2099900136260118_tkinter_dashboard_gui.py,desktop-ui,other,,0
C:\Users\richg\eafix-modular\tests\fixtures\2099900237260118_indicator_signal_simulator.py,,other,,1
C:\Users\richg\eafix-modular\services\dashboard-backend\src\2099900105260118_dashboard_backend.py,dashboard-backend,other,,0
C:\Users\richg\eafix-modular\services\dashboard-backend\src\2099900104260118_advanced_indicators.py,dashboard-backend,other,,0
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900096260118_python_calendar_system.py,calendar-ingestor,other,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900090260118_ff_auto_downloader.py,calendar-ingestor,other,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\tests\fixtures\2099900236260118_calendar_event_simulator.py,,other,,1
C:\Users\richg\eafix-modular\services\dashboard-backend\src\2099900108260118_tkinter_dashboard_gui.py,dashboard-backend,other,,0
C:\Users\richg\eafix-modular\tests\signal_flow_testing\2099900253260118_calendar_event_simulator.py,,other,,1
C:\Users\richg\eafix-modular\tests\integration\2099900246260118_test_performance_monitoring.py,,test,,1
C:\Users\richg\eafix-modular\tests\signal_flow_testing\2099900254260118_indicator_signal_simulator.py,,other,,1
C:\Users\richg\eafix-modular\tests\legacy\contracts\2099900251260118_test_round_trip.py,,test,,1
C:\Users\richg\eafix-modular\tests\integration\2099900247260118_test_services_startup.py,,test,,1
C:\Users\richg\eafix-modular\tests\legacy\integration\2099900252260118_test_p_folder_integration.py,,test,,1
C:\Users\richg\eafix-modular\tests\signal_flow_testing\2099900255260118_manual_testing_control_panel.py,,test,,1
C:\Users\richg\eafix-modular\tests\contracts\2099900227260118_test_integration.py,,test,,1
C:\Users\richg\eafix-modular\tests\e2e\2099900234260118_test_enterprise_system.py,,test,,1
C:\Users\richg\eafix-modular\tests\e2e\2099900235260118___init__.py,,package_init,,1
C:\Users\richg\eafix-modular\scripts\replay\2099900088260118_replay_ticks.py,,other,,0
C:\Users\richg\eafix-modular\scripts\codebase_analysis\2099900085260118_generate_codebase_json.py,,other,,0
C:\Users\richg\eafix-modular\scripts\perf\locust\2099900087260118_locustfile.py,,other,,0
C:\Users\richg\eafix-modular\tests\contracts\2099900225260118_conftest.py,,test,,1
C:\Users\richg\eafix-modular\tests\integration\2099900244260118_test_end_to_end_flows.py,,test,,1
C:\Users\richg\eafix-modular\tests\integration\2099900245260118_test_event_routing.py,,test,,1
C:\Users\richg\eafix-modular\tests\integration\2099900241260118_conftest.py,,test,,1
C:\Users\richg\eafix-modular\tests\integration\2099900243260118_test_data_validation.py,,test,,1
C:\Users\richg\eafix-modular\tests\integration\2099900242260118_signal_flow_tester.py,,test,,1
C:\Users\richg\eafix-modular\tests\contracts\consumer\2099900228260118_test_execution_engine_contracts.py,,test,,1
C:\Users\richg\eafix-modular\tests\contracts\consumer\2099900229260118_test_signal_generator_contracts.py,,test,,1
C:\Users\richg\eafix-modular\tests\signal_flow_testing\2099900256260118_signal_flow_tester.py,,test,,1
C:\Users\richg\eafix-modular\tests\signal_flow_testing\2099900257260118___init__.py,,package_init,,1
C:\Users\richg\eafix-modular\tests\contracts\framework\2099900230260118_contract_testing.py,,test,,1
C:\Users\richg\eafix-modular\tests\contracts\scenarios\2099900233260118_test_trading_flow_scenarios.py,,test,,1
C:\Users\richg\eafix-modular\tests\contracts\properties\2099900231260118_test_property_based_contracts.py,,test,,1
C:\Users\richg\eafix-modular\tests\contracts\provider\2099900232260118_test_risk_manager_provider.py,,test,,1
C:\Users\richg\eafix-modular\services\indicator-engine\src\2099900159260118_plugin.py,indicator-engine,plugin,C2_INDICATOR_ENGINE,0
C:\Users\richg\eafix-modular\services\risk-manager\src\2099900183260118_plugin.py,risk-manager,plugin,R1_RISK_EVALUATOR,0
C:\Users\richg\eafix-modular\services\execution-engine\src\2099900144260118_plugin.py,execution-engine,plugin,"B2_MT4_EA_EXECUTOR,O2_OMS,O3_PNL_CLASSIFIER",0
C:\Users\richg\eafix-modular\services\reporter\src\2099900181260118_plugin.py,reporter,plugin,,0
C:\Users\richg\eafix-modular\services\indicator-engine\tests\2099900162260118_test_indicator_plugin.py,indicator-engine,test,C2_INDICATOR_ENGINE,1
C:\Users\richg\eafix-modular\services\signal-generator\tests\2099900186260118_test_signal_generator_plugin.py,signal-generator,test,S1_SIGNAL_ENGINE,1
