file_id,relative_path,directory_id,file_name,extension,module_id,assigned_module_name,process_steps,component_ids,last_verified_utc,file_scope_class
10000000000000000073,compliance/auto-remediation/2099900012260118_remediation-engine.py,20000000000000000011,2099900012260118_remediation-engine.py,.py,50000000000000000011,Signal Engine,60000000000000000011,,2026-03-16T00:00:00Z,module_owned
10000000000000000556,services/calendar-ingestor/src/2099900089260118_config.py,20000000000000000161,2099900089260118_config.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000557,services/calendar-ingestor/src/2099900090260118_ff_auto_downloader.py,20000000000000000161,2099900090260118_ff_auto_downloader.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000558,services/calendar-ingestor/src/2099900091260118_health.py,20000000000000000161,2099900091260118_health.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000559,services/calendar-ingestor/src/2099900092260118_ingestor.py,20000000000000000161,2099900092260118_ingestor.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000560,services/calendar-ingestor/src/2099900093260118_main.py,20000000000000000161,2099900093260118_main.py,.py,50000000000000000003,Calendar Source Adapter,60000000000000000003,,2026-03-16T00:00:00Z,module_owned
10000000000000000561,services/calendar-ingestor/src/2099900094260118_metrics.py,20000000000000000161,2099900094260118_metrics.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000562,services/calendar-ingestor/src/2099900095260118_plugin.py,20000000000000000161,2099900095260118_plugin.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000563,services/calendar-ingestor/src/2099900096260118_python_calendar_system.py,20000000000000000161,2099900096260118_python_calendar_system.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000564,services/calendar-ingestor/src/2099900097260118_python_calendar_system_patched.py,20000000000000000161,2099900097260118_python_calendar_system_patched.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000565,services/calendar-ingestor/src/2099900098260118___init__.py,20000000000000000161,2099900098260118___init__.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000566,services/calendar-ingestor/tests/2099900099260118_test_ingestor.py,20000000000000000162,2099900099260118_test_ingestor.py,.py,50000000000000000003,Calendar Source Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000584,services/data-ingestor/src/2099900109260118_config.py,20000000000000000170,2099900109260118_config.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000585,services/data-ingestor/src/2099900110260118_health.py,20000000000000000170,2099900110260118_health.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000586,services/data-ingestor/src/2099900111260118_ingestor.py,20000000000000000170,2099900111260118_ingestor.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000587,services/data-ingestor/src/2099900112260118_main.py,20000000000000000170,2099900112260118_main.py,.py,50000000000000000007,Market Feed Adapter,60000000000000000007,,2026-03-16T00:00:00Z,module_owned
10000000000000000588,services/data-ingestor/src/2099900113260118_main_enterprise.py,20000000000000000170,2099900113260118_main_enterprise.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000589,services/data-ingestor/src/2099900114260118_metrics.py,20000000000000000170,2099900114260118_metrics.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000590,services/data-ingestor/src/2099900115260118_models.py,20000000000000000170,2099900115260118_models.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000591,services/data-ingestor/src/2099900116260118_plugin.py,20000000000000000170,2099900116260118_plugin.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000592,services/data-ingestor/tests/integration/2099900117260118___init__.py,20000000000000000172,2099900117260118___init__.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
